age,workclass,education,Education-num,occupation,race,sex,Hours-per-week,wage
57, Private, Some-college,10, Adm-clerical, White, Male,40, <=50K
40, Private, HS-grad,9, Sales, White, Female,40, >50K
18, State-gov, 11th,7, Adm-clerical, White, Female,5, <=50K
35, Private, HS-grad,9, Other-service, Asian-Pac-Islander, Male,40, <=50K
38, Self-emp-not-inc, Assoc-acdm,12, Transport-moving, White, Male,40, <=50K
53, Private, Assoc-voc,11, Exec-managerial, White, Male,45, <=50K
70, Self-emp-not-inc, Some-college,10, Tech-support, White, Male,20, <=50K
35, Private, Bachelors,13, Craft-repair, Asian-Pac-Islander, Male,40, >50K
55, Federal-gov, Some-college,10, Adm-clerical, White, Male,40, <=50K
40, Private, Some-college,10, Exec-managerial, Black, Female,55, <=50K
29, Private, Doctorate,16, Prof-specialty, White, Female,60, >50K
37, Local-gov, Bachelors,13, Prof-specialty, White, Female,55, <=50K
34, Private, Bachelors,13, Prof-specialty, White, Female,45, <=50K
32, Private, Bachelors,13, Exec-managerial, White, Female,40, >50K
37, Private, HS-grad,9, Other-service, White, Female,30, <=50K
50, Private, HS-grad,9, Sales, White, Male,55, >50K
45, Private, Masters,14, Exec-managerial, Black, Male,40, >50K
41, Private, HS-grad,9, Machine-op-inspct, White, Male,48, <=50K
48, Private, Masters,14, Sales, White, Male,35, <=50K
39, Federal-gov, Bachelors,13, Exec-managerial, Black, Female,40, <=50K
39, Private, HS-grad,9, Farming-fishing, White, Male,30, <=50K
28, Private, Bachelors,13, Exec-managerial, White, Female,50, >50K
27, Private, Some-college,10, Adm-clerical, Black, Male,40, <=50K
18, Private, HS-grad,9, Other-service, White, Female,45, <=50K
43, Federal-gov, Bachelors,13, Tech-support, Asian-Pac-Islander, Male,40, <=50K
52, Private, HS-grad,9, Craft-repair, White, Male,40, >50K
29, Private, Assoc-acdm,12, Sales, White, Male,45, <=50K
30, Self-emp-not-inc, Bachelors,13, Sales, White, Male,70, <=50K
41, Self-emp-not-inc, HS-grad,9, Machine-op-inspct, White, Male,25, <=50K
49, Private, Some-college,10, Prof-specialty, White, Male,44, >50K
26, Private, HS-grad,9, Other-service, White, Female,35, <=50K
38, Private, HS-grad,9, Tech-support, White, Male,40, >50K
36, Private, HS-grad,9, Machine-op-inspct, White, Male,40, <=50K
45, Self-emp-inc, Bachelors,13, Exec-managerial, Asian-Pac-Islander, Female,70, <=50K
37, Private, Assoc-acdm,12, Other-service, White, Female,30, <=50K
47, Private, HS-grad,9, Machine-op-inspct, White, Female,30, <=50K
41, Private, HS-grad,9, Other-service, White, Male,40, <=50K
41, Private, Bachelors,13, Prof-specialty, White, Male,40, >50K
30, Self-emp-not-inc, HS-grad,9, Prof-specialty, White, Male,15, >50K
41, Private, Some-college,10, Handlers-cleaners, White, Male,40, <=50K
25, Private, Bachelors,13, Prof-specialty, Black, Female,55, <=50K
66, Private, Some-college,10, Tech-support, White, Male,40, >50K
39, Private, HS-grad,9, Handlers-cleaners, White, Male,48, >50K
44, Federal-gov, HS-grad,9, Adm-clerical, White, Female,40, <=50K
26, Private, Bachelors,13, Adm-clerical, Black, Female,40, <=50K
38, Private, HS-grad,9, Other-service, Black, Female,30, <=50K
18, Self-emp-not-inc, HS-grad,9, Farming-fishing, White, Male,40, <=50K
47, State-gov, Assoc-acdm,12, Protective-serv, White, Male,40, <=50K
21, Private, HS-grad,9, Other-service, White, Female,30, <=50K
24, Private, HS-grad,9, Sales, White, Male,38, <=50K
44, Private, Assoc-acdm,12, Craft-repair, White, Male,40, >50K
49, Private, HS-grad,9, Craft-repair, White, Male,40, >50K
68, Private, HS-grad,9, Handlers-cleaners, White, Male,45, >50K
58, Private, Bachelors,13, Prof-specialty, White, Female,35, >50K
36, Private, Some-college,10, Adm-clerical, White, Female,40, <=50K
40, Local-gov, 7th-8th,4, Craft-repair, Black, Male,40, >50K
34, Self-emp-inc, Some-college,10, Exec-managerial, White, Male,40, >50K
36, Private, 10th,6, Craft-repair, White, Male,70, <=50K
25, Private, Bachelors,13, Exec-managerial, White, Male,35, <=50K
67, Self-emp-not-inc, HS-grad,9, Farming-fishing, White, Male,60, <=50K
71,, Bachelors,13,, White, Male,30, >50K
27, Private, Assoc-voc,11, Adm-clerical, White, Female,40, <=50K
23, Private, 11th,7, Machine-op-inspct, White, Male,40, <=50K
46, Local-gov, Bachelors,13, Transport-moving, Black, Male,40, <=50K
32, Private, Masters,14, Exec-managerial, White, Female,40, <=50K
45, Private, Some-college,10, Other-service, Black, Female,40, <=50K
54, Private, 10th,6, Machine-op-inspct, White, Male,60, <=50K
22, Private, Some-college,10, Other-service, White, Female,38, <=50K
45, Local-gov, Masters,14, Prof-specialty, White, Male,50, >50K
28, Private, HS-grad,9, Craft-repair, White, Male,40, <=50K
18, Private, 11th,7, Other-service, White, Male,20, <=50K
50, Private, Some-college,10, Prof-specialty, White, Male,40, <=50K
42, Private, HS-grad,9, Machine-op-inspct, White, Female,40, <=50K
32, Private, 11th,7, Craft-repair, Amer-Indian-Eskimo, Male,60, >50K
36, Private, Masters,14, Prof-specialty, White, Female,40, <=50K
32, Private, Some-college,10, Machine-op-inspct, White, Male,40, <=50K
41, Self-emp-inc, Masters,14, Exec-managerial, White, Male,60, >50K
40, Private, Some-college,10, Tech-support, White, Female,40, >50K
47,, HS-grad,9,, White, Female,8, >50K
22, Private, HS-grad,9, Craft-repair, White, Male,43, <=50K
31, Private, Assoc-acdm,12, Prof-specialty, Asian-Pac-Islander, Male,40, <=50K
47, Private, Some-college,10, Craft-repair, White, Male,40, >50K
28, Private, Assoc-acdm,12, Adm-clerical, Black, Female,35, <=50K
25,, HS-grad,9,, White, Male,40, <=50K
46, Private, Bachelors,13, Tech-support, White, Male,40, <=50K
26, Self-emp-inc, HS-grad,9, Exec-managerial, White, Male,78, >50K
41, Private, HS-grad,9, Craft-repair, White, Female,50, <=50K
25, Private, Some-college,10, Sales, White, Male,30, <=50K
52, Private, HS-grad,9, Machine-op-inspct, Black, Male,48, <=50K
21, Private, Assoc-voc,11, Other-service, White, Male,30, <=50K
33, Private, Bachelors,13, Handlers-cleaners, White, Male,40, <=50K
29, Self-emp-inc, HS-grad,9, Prof-specialty, White, Male,25, <=50K
37, Private, HS-grad,9, Other-service, White, Male,40, <=50K
19, Private, Some-college,10, Other-service, White, Male,14, <=50K
52, Private, Assoc-acdm,12, Tech-support, White, Male,40, >50K
52,, Prof-school,15,, Asian-Pac-Islander, Female,40, <=50K
66, Self-emp-not-inc, Bachelors,13, Exec-managerial, White, Male,8, >50K
34, Private, Bachelors,13, Exec-managerial, White, Male,85, >50K
26, Private, 5th-6th,3, Farming-fishing, White, Male,30, <=50K
21, Private, HS-grad,9, Machine-op-inspct, White, Male,20, <=50K
63,, HS-grad,9,, White, Male,14, <=50K
39, Self-emp-not-inc, Assoc-voc,11, Farming-fishing, White, Male,60, <=50K
54, Private, 10th,6, Transport-moving, Black, Male,45, >50K
48, Private, Prof-school,15, Exec-managerial, White, Male,50, >50K
29, Self-emp-not-inc, Masters,14, Craft-repair, White, Male,30, <=50K
61, Federal-gov, Prof-school,15, Prof-specialty, White, Male,50, >50K
40, State-gov, Bachelors,13, Adm-clerical, White, Male,40, <=50K
60, Private, HS-grad,9, Exec-managerial, White, Male,40, >50K
44, Self-emp-not-inc, Some-college,10, Farming-fishing, White, Male,60, <=50K
22, Private, Assoc-voc,11, Craft-repair, White, Male,44, <=50K
18, Private, Some-college,10, Other-service, White, Female,24, <=50K
41, Private, HS-grad,9, Handlers-cleaners, White, Male,55, <=50K
29, Private, Bachelors,13, Exec-managerial, White, Female,50, >50K
20, State-gov, Some-college,10, Other-service, White, Female,20, <=50K
22, Private, HS-grad,9, Prof-specialty, White, Male,54, <=50K
38, Private, HS-grad,9, Handlers-cleaners, Black, Male,40, <=50K
34, Private, HS-grad,9, Transport-moving, White, Male,45, <=50K
25, Private, Some-college,10, Tech-support, White, Female,43, <=50K
62, Private, Masters,14, Prof-specialty, White, Male,70, <=50K
24, Private, HS-grad,9, Handlers-cleaners, White, Male,40, <=50K
42, Private, Some-college,10, Adm-clerical, White, Female,40, <=50K
39, Private, HS-grad,9, Craft-repair, White, Male,40, <=50K
80, Private, Some-college,10, Prof-specialty, White, Male,60, <=50K
36, Private, Masters,14, Sales, White, Male,50, >50K
23, Private, Bachelors,13, Tech-support, White, Female,40, <=50K
28, Private, 5th-6th,3, Craft-repair, White, Male,40, <=50K
22, Private, Some-college,10, Farming-fishing, White, Male,25, <=50K
49, Private, HS-grad,9, Craft-repair, White, Male,40, >50K
21, Private, 10th,6, Prof-specialty, Black, Female,40, <=50K
28, Private, Assoc-acdm,12, Exec-managerial, White, Female,40, <=50K
30, Private, Assoc-voc,11, Sales, White, Female,40, >50K
26, Private, Some-college,10, Exec-managerial, Black, Female,40, <=50K
31, Private, HS-grad,9, Sales, White, Male,50, >50K
56, Private, 7th-8th,4, Transport-moving, White, Male,40, <=50K
36, Private, Bachelors,13, Prof-specialty, Asian-Pac-Islander, Male,45, <=50K
22, Federal-gov, Assoc-acdm,12, Other-service, White, Male,20, <=50K
48, Private, Masters,14, Exec-managerial, White, Male,40, >50K
52, Private, Some-college,10, Exec-managerial, White, Female,50, <=50K
25, Local-gov, HS-grad,9, Prof-specialty, Black, Female,40, <=50K
36, Private, HS-grad,9, Transport-moving, White, Male,40, <=50K
44, Local-gov, Assoc-voc,11, Tech-support, Asian-Pac-Islander, Male,40, <=50K
58, Private, Doctorate,16, Prof-specialty, White, Male,50, >50K
62, Private, 9th,5, Exec-managerial, White, Male,40, <=50K
41, Private, Some-college,10, Exec-managerial, White, Male,60, >50K
56, Private, Assoc-acdm,12, Other-service, White, Male,50, <=50K
48, Private, Assoc-acdm,12, Machine-op-inspct, White, Male,40, <=50K
54, State-gov, Some-college,10, Adm-clerical, White, Female,38, <=50K
29, Private, Bachelors,13, Prof-specialty, White, Male,50, <=50K
19, Private, Some-college,10, Other-service, White, Female,25, <=50K
52, Local-gov, HS-grad,9, Craft-repair, White, Male,40, <=50K
29, Private, HS-grad,9, Craft-repair, White, Male,45, <=50K
19, Private, HS-grad,9, Other-service, White, Male,20, <=50K
55, Local-gov, 7th-8th,4, Other-service, Black, Female,40, <=50K
43, Private, 10th,6, Other-service, Black, Female,40, <=50K
43, Self-emp-not-inc, 9th,5, Craft-repair, White, Male,40, <=50K
32, Private, Bachelors,13, Tech-support, White, Male,40, >50K
71, Local-gov, Bachelors,13, Prof-specialty, White, Female,6, <=50K
30, Private, Some-college,10, Protective-serv, White, Male,48, <=50K
31, Private, Some-college,10, Transport-moving, White, Male,45, <=50K
37, Federal-gov, HS-grad,9, Adm-clerical, White, Male,50, >50K
40, Private, Bachelors,13, Sales, White, Female,45, <=50K
30, Private, HS-grad,9, Craft-repair, White, Male,50, <=50K
40, Private, Masters,14, Prof-specialty, White, Male,60, <=50K
40, Private, HS-grad,9, Sales, White, Male,45, >50K
42, Private, Masters,14, Exec-managerial, White, Male,40, <=50K
36, Self-emp-not-inc, 10th,6, Farming-fishing, White, Male,60, <=50K
37, Private, Some-college,10, Other-service, Asian-Pac-Islander, Male,30, <=50K
59, Private, 7th-8th,4, Craft-repair, White, Male,40, <=50K
22, Private, Some-college,10, Other-service, White, Male,25, <=50K
23, Private, HS-grad,9, Adm-clerical, White, Female,40, <=50K
51, Self-emp-not-inc, HS-grad,9, Exec-managerial, White, Female,35, >50K
29,, Some-college,10,, White, Female,30, <=50K
37, Private, Bachelors,13, Sales, White, Male,60, >50K
38, Private, 12th,8, Other-service, White, Female,17, <=50K
36, Private, HS-grad,9, Adm-clerical, White, Female,50, <=50K
51, Private, 9th,5, Other-service, Black, Female,40, <=50K
46, Private, HS-grad,9, Adm-clerical, White, Female,40, >50K
36, Private, HS-grad,9, Exec-managerial, White, Male,40, <=50K
38, Private, Some-college,10, Adm-clerical, White, Female,40, <=50K
27, Local-gov, Masters,14, Prof-specialty, White, Female,40, <=50K
32, Private, Some-college,10, Adm-clerical, White, Female,50, <=50K
35, Local-gov, Some-college,10, Adm-clerical, White, Female,40, <=50K
47, Private, 11th,7, Other-service, White, Male,40, <=50K
49, Private, HS-grad,9, Tech-support, White, Male,40, <=50K
29, Private, Masters,14, Exec-managerial, White, Female,45, <=50K
26, Private, Bachelors,13, Prof-specialty, Asian-Pac-Islander, Female,40, <=50K
33, Private, 1st-4th,2, Priv-house-serv, White, Female,40, <=50K
46, Private, Some-college,10, Adm-clerical, White, Male,40, <=50K
26, Private, HS-grad,9, Adm-clerical, White, Male,40, <=50K
27, Private, HS-grad,9, Machine-op-inspct, White, Male,46, <=50K
24, Private, Bachelors,13, Prof-specialty, White, Male,30, <=50K
27, Private, HS-grad,9, Craft-repair, White, Male,48, <=50K
43, Private, Bachelors,13, Prof-specialty, White, Female,50, >50K
34, Private, HS-grad,9, Craft-repair, White, Male,40, <=50K
28, Self-emp-not-inc, Assoc-voc,11, Farming-fishing, White, Male,60, <=50K
19, Private, HS-grad,9, Sales, White, Female,30, <=50K
40, Private, HS-grad,9, Transport-moving, White, Male,40, <=50K
24, Private, HS-grad,9, Machine-op-inspct, White, Female,24, <=50K
23, State-gov, Bachelors,13, Prof-specialty, White, Male,40, >50K
31, Private, HS-grad,9, Adm-clerical, White, Female,40, <=50K
23, Private, Bachelors,13, Other-service, White, Male,40, <=50K
38, Private, Bachelors,13, Exec-managerial, White, Male,45, <=50K
62,, Assoc-voc,11,, White, Male,40, <=50K
37, Private, HS-grad,9, Adm-clerical, White, Female,45, <=50K
21, Private, Bachelors,13, Other-service, White, Female,20, <=50K
44, Private, 10th,6, Adm-clerical, Other, Female,42, <=50K
40, Private, HS-grad,9, Handlers-cleaners, White, Male,40, >50K
30, Private, HS-grad,9, Sales, White, Male,40, <=50K
38, Private, Assoc-acdm,12, Craft-repair, White, Female,40, <=50K
33, Private, HS-grad,9, Transport-moving, Black, Male,40, <=50K
31, State-gov, Bachelors,13, Adm-clerical, White, Male,47, <=50K
25, Private, Assoc-voc,11, Adm-clerical, White, Female,40, <=50K
24, Private, HS-grad,9, Other-service, White, Female,32, <=50K
28, Private, 10th,6, Handlers-cleaners, White, Male,30, <=50K
55, Self-emp-inc, 10th,6, Transport-moving, White, Male,40, <=50K
50, Private, HS-grad,9, Craft-repair, White, Male,40, <=50K
43, Private, 10th,6, Machine-op-inspct, Black, Male,40, <=50K
21, Private, HS-grad,9, Handlers-cleaners, White, Male,40, <=50K
62,, HS-grad,9,, White, Female,40, >50K
58, Private, Some-college,10, Adm-clerical, Black, Female,40, <=50K
19, Private, HS-grad,9, Adm-clerical, White, Female,42, <=50K
43, Private, Some-college,10, Exec-managerial, White, Male,55, >50K
59, Federal-gov, Masters,14, Prof-specialty, White, Female,40, >50K
64, Private, 11th,7, Transport-moving, White, Male,40, <=50K
28, Private, Bachelors,13, Prof-specialty, White, Female,35, <=50K
31, Private, Prof-school,15, Prof-specialty, White, Male,50, >50K
38, Private, Some-college,10, Sales, White, Male,40, >50K
38,, Assoc-voc,11,, White, Female,25, <=50K
28, Private, HS-grad,9, Other-service, Black, Female,40, <=50K
47, Private, Prof-school,15, Prof-specialty, White, Male,60, >50K
26, Local-gov, Bachelors,13, Prof-specialty, Black, Female,42, <=50K
69,, Prof-school,15,, White, Female,25, <=50K
45, Local-gov, HS-grad,9, Adm-clerical, Black, Female,40, <=50K
23, Private, Assoc-acdm,12, Craft-repair, White, Male,40, <=50K
58, Private, Masters,14, Adm-clerical, White, Female,24, >50K
57, Local-gov, HS-grad,9, Other-service, White, Female,30, <=50K
18, Private, Some-college,10, Other-service, White, Male,20, <=50K
29, Private, HS-grad,9, Adm-clerical, White, Female,40, <=50K
39, Private, Bachelors,13, Prof-specialty, White, Male,40, <=50K
36, Private, HS-grad,9, Transport-moving, White, Male,40, <=50K
50, Private, HS-grad,9, Adm-clerical, White, Female,40, >50K
27, Private, Some-college,10, Adm-clerical, White, Female,40, <=50K
24, Private, Bachelors,13, Adm-clerical, Asian-Pac-Islander, Female,16, <=50K
51, Private, 9th,5, Machine-op-inspct, White, Male,45, <=50K
31, Private, Bachelors,13, Prof-specialty, Black, Female,40, <=50K
52, Private, 7th-8th,4, Exec-managerial, White, Female,50, <=50K
47, Local-gov, Some-college,10, Craft-repair, White, Male,45, <=50K
19, Private, HS-grad,9, Machine-op-inspct, White, Male,43, <=50K
65, Local-gov, 7th-8th,4, Exec-managerial, White, Male,40, <=50K
60,, Some-college,10,, Black, Female,40, <=50K
55, Private, Bachelors,13, Sales, White, Male,40, <=50K
33, Private, HS-grad,9, Protective-serv, White, Male,48, >50K
30, Private, Bachelors,13, Craft-repair, White, Male,40, <=50K
63, Private, Some-college,10, Sales, White, Female,20, <=50K
52, Private, Assoc-voc,11, Craft-repair, White, Male,40, <=50K
50, Private, 7th-8th,4, Other-service, White, Female,35, <=50K
59, Self-emp-not-inc, 10th,6, Exec-managerial, White, Female,36, <=50K
45, Private, HS-grad,9, Adm-clerical, White, Female,40, <=50K
60, Self-emp-not-inc, HS-grad,9, Farming-fishing, Amer-Indian-Eskimo, Male,50, <=50K
53, Local-gov, Some-college,10, Protective-serv, White, Male,40, >50K
43, Private, Some-college,10, Exec-managerial, Black, Female,40, <=50K
66,, Some-college,10,, White, Male,40, <=50K
38, Private, HS-grad,9, Craft-repair, White, Male,44, <=50K
41, Private, HS-grad,9, Tech-support, White, Female,40, <=50K
28, Self-emp-not-inc, Bachelors,13, Tech-support, White, Male,45, <=50K
36, Private, HS-grad,9, Craft-repair, White, Male,40, <=50K
51, State-gov, Some-college,10, Prof-specialty, White, Female,40, <=50K
19, Private, HS-grad,9, Other-service, White, Female,40, <=50K
19, Private, Some-college,10, Other-service, White, Male,20, <=50K
27, Local-gov, Bachelors,13, Prof-specialty, White, Female,40, <=50K
45, Private, HS-grad,9, Sales, White, Male,60, >50K
33, Private, Bachelors,13, Prof-specialty, White, Male,38, >50K
38, Private, 10th,6, Machine-op-inspct, White, Male,40, >50K
30, Private, HS-grad,9, Tech-support, White, Female,40, <=50K
19, Private, HS-grad,9, Sales, White, Male,45, <=50K
35, Private, Assoc-acdm,12, Other-service, White, Female,35, >50K
33, Private, HS-grad,9, Sales, White, Male,20, <=50K
49, Private, Bachelors,13, Sales, White, Female,35, <=50K
34, Private, Assoc-acdm,12, Adm-clerical, Black, Male,40, <=50K
22, Local-gov, HS-grad,9, Handlers-cleaners, Black, Male,40, <=50K
40, Private, Masters,14, Prof-specialty, White, Male,40, <=50K
42, Private, HS-grad,9, Handlers-cleaners, White, Male,40, <=50K
47, Private, Bachelors,13, Tech-support, White, Male,48, <=50K
30, Self-emp-not-inc, Assoc-acdm,12, Sales, White, Male,60, <=50K
24, Private, HS-grad,9, Other-service, Black, Male,40, <=50K
18, Private, 11th,7, Sales, White, Male,13, <=50K
30, Federal-gov, Some-college,10, Adm-clerical, White, Male,48, >50K
33, Local-gov, Assoc-voc,11, Adm-clerical, White, Male,55, <=50K
42, Self-emp-not-inc, Some-college,10, Farming-fishing, White, Male,60, <=50K
50, Private, HS-grad,9, Machine-op-inspct, White, Male,40, <=50K
36, Local-gov, HS-grad,9, Other-service, White, Male,40, <=50K
25, Private, Some-college,10, Other-service, Black, Male,42, <=50K
51, Self-emp-not-inc, HS-grad,9, Sales, White, Female,44, <=50K
24, Private, Assoc-acdm,12, Exec-managerial, White, Male,40, <=50K
27, Private, HS-grad,9, Machine-op-inspct, White, Male,40, <=50K
24, Private, HS-grad,9, Handlers-cleaners, White, Male,20, <=50K
43, Local-gov, Assoc-acdm,12, Tech-support, White, Male,43, <=50K
66, Private, HS-grad,9, Transport-moving, White, Male,55, <=50K
34, State-gov, Masters,14, Prof-specialty, White, Female,40, <=50K
19, Private, HS-grad,9, Sales, White, Male,35, <=50K
35, Private, Some-college,10, Craft-repair, White, Male,40, <=50K
31, Private, HS-grad,9, Other-service, White, Male,40, <=50K
24, Private, Bachelors,13, Tech-support, White, Female,40, <=50K
22, Private, HS-grad,9, Machine-op-inspct, White, Female,48, <=50K
34, Local-gov, Masters,14, Prof-specialty, White, Female,40, <=50K
21, Private, Some-college,10, Handlers-cleaners, White, Male,40, <=50K
49, Local-gov, HS-grad,9, Craft-repair, White, Male,40, <=50K
29, Private, Bachelors,13, Sales, White, Female,50, <=50K
35, Local-gov, Some-college,10, Exec-managerial, White, Male,40, <=50K
41, Private, 11th,7, Handlers-cleaners, White, Female,40, <=50K
52, Self-emp-not-inc, Bachelors,13, Prof-specialty, White, Male,60, >50K
18, Private, HS-grad,9, Sales, White, Male,10, <=50K
44, Private, HS-grad,9, Adm-clerical, White, Female,45, <=50K
41, Private, 12th,8, Protective-serv, Black, Male,40, <=50K
26, Private, HS-grad,9, Adm-clerical, White, Female,40, <=50K
27, Federal-gov, Bachelors,13, Transport-moving, White, Male,35, <=50K
56, Private, HS-grad,9, Machine-op-inspct, White, Male,40, <=50K
64, Self-emp-not-inc, HS-grad,9, Sales, White, Male,35, <=50K
23, Private, Some-college,10, Machine-op-inspct, Asian-Pac-Islander, Male,30, <=50K
34, Private, HS-grad,9, Tech-support, White, Male,40, <=50K
29,, HS-grad,9,, Black, Female,20, <=50K
68,, 10th,6,, White, Male,35, <=50K
18, Private, HS-grad,9, Handlers-cleaners, White, Female,28, <=50K
31, Private, Bachelors,13, Exec-managerial, White, Female,50, <=50K
58, Self-emp-not-inc, HS-grad,9, Farming-fishing, Asian-Pac-Islander, Male,30, <=50K
68, Private, HS-grad,9, Transport-moving, White, Male,12, <=50K
27, Private, Bachelors,13, Prof-specialty, Asian-Pac-Islander, Male,40, >50K
34, Private, HS-grad,9, Handlers-cleaners, Black, Male,40, <=50K
22, Private, HS-grad,9, Exec-managerial, White, Female,20, <=50K
51, Private, HS-grad,9, Adm-clerical, White, Male,50, <=50K
27, Self-emp-not-inc, 11th,7, Exec-managerial, White, Male,50, <=50K
27, Private, HS-grad,9, Adm-clerical, White, Male,40, <=50K
23, Private, 1st-4th,2, Machine-op-inspct, Amer-Indian-Eskimo, Female,35, <=50K
53, Private, HS-grad,9, Adm-clerical, White, Female,40, <=50K
31, State-gov, Doctorate,16, Prof-specialty, White, Male,70, >50K
51, Private, Some-college,10, Handlers-cleaners, White, Male,40, <=50K
